host,ip,port,protocol,title,domain,country,city,link,as_organization
168.138.204.44:587,168.138.204.44,587,http,,,JP,Tokyo,http://168.138.204.44:587,ORACLE-BMC-31898
https://158.101.132.240:10002,158.101.132.240,10002,https,,,JP,Tokyo,https://158.101.132.240:10002,ORACLE-BMC-31898
168.138.197.147:12345,168.138.197.147,12345,http,,,JP,Tokyo,http://168.138.197.147:12345,ORACLE-BMC-31898
https://158.101.132.240:10000,158.101.132.240,10000,https,,,JP,Tokyo,https://158.101.132.240:10000,ORACLE-BMC-31898
8.209.220.155:587,8.209.220.155,587,http,,,JP,Tokyo,http://8.209.220.155:587,"Alibaba US Technology Co., Ltd."
158.101.95.22:9002,158.101.95.22,9002,http,Claude,,JP,Tokyo,http://158.101.95.22:9002,ORACLE-BMC-31898
141.147.185.196:587,141.147.185.196,587,http,,,JP,Tokyo,http://141.147.185.196:587,ORACLE-BMC-31898
138.3.216.18:587,138.3.216.18,587,http,,,JP,Tokyo,http://138.3.216.18:587,ORACLE-BMC-31898
64.110.96.74:587,64.110.96.74,587,http,,,JP,Osaka,http://64.110.96.74:587,ORACLE-BMC-31898
158.101.132.240:10001,158.101.132.240,10001,http,,,JP,Tokyo,http://158.101.132.240:10001,ORACLE-BMC-31898
140.238.38.81:587,140.238.38.81,587,http,,,JP,Tokyo,http://140.238.38.81:587,ORACLE-BMC-31898
https://141.147.144.246:8080,141.147.144.246,8080,https,,,JP,Osaka,https://141.147.144.246:8080,ORACLE-BMC-31898
https://131.186.60.210:8080,131.186.60.210,8080,https,,,JP,Tokyo,https://131.186.60.210:8080,ORACLE-BMC-31898
168.138.201.26:10000,168.138.201.26,10000,http,,,JP,Tokyo,http://168.138.201.26:10000,ORACLE-BMC-31898
https://138.2.53.250:8080,138.2.53.250,8080,https,,,JP,Osaka,https://138.2.53.250:8080,ORACLE-BMC-31898
45.88.193.71:8089,45.88.193.71,8089,http,,,JP,Tokyo,http://45.88.193.71:8089,DMIT
47.74.15.234:8181,47.74.15.234,8181,http,,,JP,Tokyo,http://47.74.15.234:8181,"Alibaba US Technology Co., Ltd."
https://193.123.161.248:2052,193.123.161.248,2052,https,,,JP,Tokyo,https://193.123.161.248:2052,ORACLE-BMC-31898
